"cnpj_basico","cnae_principal","cep","bairro","municipio","capital_social"
"18106932","01","140","JUIZ CRISTALINO DE ABREU","RUA","0.0"
"18106945","63","58","REGINA COLLA","RUA","0.0"
"18106957","01","07","Tres","RUA","0.0"
"18106972","67","200","DOUTOR OTAVIO SANTOS","RUA","0.0"
"18106985","75","103","SOLDADO JAIR DA SILVA TAVARES","RUA","0.0"
"18106994","63","244","CARLYLE GUIMARAES CARDOSO","AVENIDA","0.0"
"18107008","01","109","CASSIMIRO FIUZA BENEVIDES","RUA","0.0"
"18107021","01","2515","GENERAL FROTA","RUA","0.0"
"18107035","67","1090","SANTO ANTONIO","RUA","0.0"
"18107050","01","37","FILOGONIO DE OLIVEIRA","RUA","0.0"
"18107063","00","315","DAS ARARAS","RUA","0.0"
"18107073","01","739","LAURO LINHARES","RUA","0.0"
"18107088","00","2215","MONSENHOR ROSA","RUA","0.0"
"18107101","01","78","ESTEVAO BARBOSA","RUA","0.0"
"18107112","01","595","DOM QUINTINO","RUA","0.0"
"18107122","01","317","AVELINO PERING","RUA","0.0"
"18107132","67","39","SANTA INES","TRAVESSA","0.0"
"18107143","00","SN","DOIS IRMAOS","SITIO","0.0"
"18107156","67","59","EPIFANIO REIS CAVALCANTE","RUA","0.0"
"18107168","67","147","SETE","ALAMEDA","0.0"
"18107184","00","845","RAIMUNDO CORREA","RUA","0.0"
"18107200","01","436","HORACIO NUNES","RUA","0.0"
"14324023","01","5038","SANTA CATARINA","RUA","0.0"
"18107224","01","SN","SANTA ROSA DE LIMA","CORREGO","0.0"
"18107238","67","30","ANTONIO JOAQUIM DA SILVA","RUA","0.0"
"18107251","01","17","SANTO ANTONIO","RUA","0.0"
"18107264","75","76","JOSE VENTURA OLIVEIRA","RUA","0.0"
"18107277","00","111","DAS ACACIAS","RUA","0.0"
"18107289","01","655","SANTOS DUMONT","RUA","0.0"
"18107303","67","121","SENHOR DO BONFIM","TRAVESSA","0.0"
"18107314","00","10","JOAO ANTUNES FONSECA","RUA","0.0"
"18107329","00","1264","IRAHES","RUA","0.0"
"18107343","75","14","B QD. 11 LT.","RUA","0.0"
"18107355","00","S/N","ROMANO ZANCHET, ESQUINA COM TRAVESSA DOIS","RUA","0.0"
"18107369","01","366","RENATO ROSSI VIEIRA","RUA","0.0"
